id,theme,metric_or_fact,value,year,source_url,confidence,notes
S01,France menace cyber,Evenements securite traites,3586,2025,https://cyber.gouv.fr/actualites/panorama-de-la-cybermenace-2025/,high,ANSSI
S01,France menace cyber,Signalements,2209,2025,https://cyber.gouv.fr/actualites/panorama-de-la-cybermenace-2025/,high,ANSSI
S01,France menace cyber,Incidents,1366,2025,https://cyber.gouv.fr/actualites/panorama-de-la-cybermenace-2025/,high,ANSSI
S02,France assistance cyber,Victimes assistees,500000+,2025,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/rapport-activite-2025,high,Cybermalveillance
S02,France assistance cyber,Violations de donnees variation,+107%,2025,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/rapport-activite-2025,high,Cybermalveillance
S02,France assistance cyber,Phishing variation,+70%,2025,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/rapport-activite-2025,high,Cybermalveillance
S02,France assistance cyber,Piratage comptes pro variation,+45%,2025,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/rapport-activite-2025,high,Cybermalveillance
S03,Monde resilience cyber,Supply chain top risk,54%,2025,https://www.weforum.org/publications/global-cybersecurity-outlook-2025/digest/,medium,WEF
S03,Monde resilience cyber,Impact geopolitique strategie,60%,2025,https://www.weforum.org/publications/global-cybersecurity-outlook-2025/digest/,medium,WEF
S04,Operations IR,Vecteur initial exploit,33%,2024,https://cloud.google.com/blog/topics/threat-intelligence/m-trends-2025,medium,Mandiant sample period 2024
S04,Operations IR,Vecteur initial credentials voles,16%,2024,https://cloud.google.com/blog/topics/threat-intelligence/m-trends-2025,medium,Mandiant sample period 2024
S04,Operations IR,Dwell time median global,11 jours,2024,https://cloud.google.com/blog/topics/threat-intelligence/m-trends-2025,medium,Mandiant
S05,Reglementaire UE,NIS2 secteurs critiques couverts,18,2026,https://digital-strategy.ec.europa.eu/en/policies/nis2-directive,high,Commission Europeenne
S06,Macro PME UE,Nombre de PME UE,26.1 millions,2025,https://single-market-economy.ec.europa.eu/smes/sme-strategy-and-sme-friendly-business-conditions/sme-performance-review_en,high,Commission Europeenne
S06,Macro PME UE,Value added PME 2024,-0.2%,2024,https://single-market-economy.ec.europa.eu/smes/sme-strategy-and-sme-friendly-business-conditions/sme-performance-review_en,high,Commission Europeenne
S06,Macro PME UE,Value added PME 2025,+1.6%,2025,https://single-market-economy.ec.europa.eu/smes/sme-strategy-and-sme-friendly-business-conditions/sme-performance-review_en,high,Commission Europeenne
S08,Benchmark prix,Wazuh 100 agents,571 USD/mois,2026,https://wazuh.com/cloud/,medium,prix catalogue
S08,Benchmark prix,Wazuh 250 agents,923 USD/mois,2026,https://wazuh.com/cloud/,medium,prix catalogue
S08,Benchmark prix,Wazuh 500 agents,1467 USD/mois,2026,https://wazuh.com/cloud/,medium,prix catalogue
S09,Benchmark prix,Datadog Cloud SIEM,5 USD/million events/mois,2026,https://www.datadoghq.com/pricing/?product=cloud-siem,medium,annuel
S10,Benchmark prix,Datadog Workload Protection,15 USD/host/mois,2026,https://www.datadoghq.com/pricing/?product=workload-protection,medium,annuel
S11,France menace cyber,Tendances tactiques 2025,erosion frontiere etatique-cybercrime; exploitation rapide des vuln edge,2025,https://www.cert.ssi.gouv.fr/cti/CERTFR-2026-CTI-002/,high,CERT-FR CTI
S12,UE investissement cyber,Taille echantillon NIS Investments,1080 organisations,2025,https://www.enisa.europa.eu/publications/nis-investments-2025,high,ENISA
S12,UE investissement cyber,Repartition echantillon,83% grandes / 17% PME,2025,https://www.enisa.europa.eu/publications/nis-investments-2025,high,ENISA
S13,UE investissement cyber,Budget cyber median,1.5M EUR,2025,https://www.enisa.europa.eu/news/whats-driving-cybersecurity-investments-and-where-lie-the-challenges,high,ENISA communique
S13,UE investissement cyber,Part budget IT allouee cyber,9%,2025,https://www.enisa.europa.eu/news/whats-driving-cybersecurity-investments-and-where-lie-the-challenges,high,ENISA communique
