market_output,market_value_or_range,business_model_value,reason_for_conversion,downstream_use
ACV_capacity_range,9000_to_24000_EUR,5900_EUR_average,pricing_strategy_reduced_to_improve_adoption_and_volume,pricing_and_arr_model
public_pricing,20_200_740_EUR_month,Starter_Essential_Professional,accessible_offers_for_lab_pme_and_professional_segments,pricing_grid
enterprise_capacity,upper_market_willingness_to_pay,Enterprise_custom_quote_reference_18000_EUR,keeps_ETI_and_sensitive_accounts_economically_coherent,pricing_grid
accessible_SOM,4207507_EUR,early_arr_targets_below_or_near_som,base_scenario_uses_more_customers_at_lower_acv,forecast_3y
target_segments,PME_ETI_sensitive,Starter_Essential_Professional_Enterprise,offer_tiers_map_to_segment_budget_and_complexity,pricing_grid
gtm_choice,hybrid_score_80,75_25_direct_partner_year1_then_partner_growth,accessible_pricing_strengthens_direct_self_service_and_partner_motion,channel_mix_plan
demo_or_poc_conversion,monitor_as_sensitive_variable,28_percent_base,lower_price_increases_access_but_requires_volume_and_qualification,kpi_targets
cac,monitor_as_sensitive_variable,1800_EUR_base,accessible_pricing_requires_lower_cac_and_repeatable_acquisition,unit_economics
churn,monitor_as_sensitive_variable,12_percent_y2_then_10_percent_y3,low_price_plans_raise_churn_risk_retention_must_be_managed,retention_model
proof_value,exports_audit_reporting,core_product_requirement,compliance_and_governance_support_willingness_to_pay,cahier_des_charges
